"","Sentence","Interviewee","State","Region","Verb","Verbal_S","Type_of_Subject","Person","Number","Adjacency","Preceding_Segment","Following_Segment","ThirdSingular","Verbal_aspect","Aspect","Verb_Type","Verb2r","PersonNumber"
"254","I stays here wid my gal","Georgia Baker","GA","Lower Coast","stay","s","Pronoun","First","Singular","A","V","C","N","dynamic","non-habitual","rest","stay","First - Singular"
"255","I thanks you a lot for dat purty yaller dress, and I hopes you comes back to see me again sometime.","Georgia Baker","GA","Lower Coast","thank","s","Pronoun","First","Singular","A","C","C","N","dynamic","non-habitual","rest","infrequent","First - Singular"
"256","Folkses buys what dey uses now an' don't take up no time makin' nothin' lak dat.","Georgia Telfair","GA","Lower Coast","buy","s","NP","Third","Plural","A","V","C","N","dynamic","habitual","rest","infrequent","Third - Plural"
"257","Dey calls it Knox Institute now.","Georgia Telfair","GA","Lower Coast","call","s","Pronoun","Third","Plural","A","C","V","N","dynamic","habitual","rest","call","Third - Plural"
"258","So as I kin go to Heb'en when I dies","Georgia Telfair","GA","Lower Coast","die","s","Pronoun","First","Singular","A","V","P","N","dynamic","non-habitual","rest","die","First - Singular"
"259","I lak bes' goes sorter lak dis","Georgia Telfair","GA","Lower Coast","like","0","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","like","First - Singular"
"260","Folkses buys what dey uses now an' don't take up no time makin' nothin' lak dat.","Georgia Telfair","GA","Lower Coast","use","s","Pronoun","Third","Plural","A","S","C","N","dynamic","habitual","rest","use","Third - Plural"
"261","I ain't goin' 'way frum here 'till I dies","Jane Smith Hill Harmon","GA","Lower Coast","die","s","Pronoun","First","Singular","A","V","P","N","dynamic","non-habitual","rest","die","First - Singular"
"262","I jes' hates 'em","Jane Smith Hill Harmon","GA","Lower Coast","hate","s","Pronoun","First","Singular","N","C","V","N","state","non-habitual","rest","hate","First - Singular"
"263","I hate's em, I tells yuh!","Jane Smith Hill Harmon","GA","Lower Coast","hate","s","Pronoun","First","Singular","A","C","V","N","state","non-habitual","rest","hate","First - Singular"
"264","kase I 'haves myself an' don't lake niggers an' don't fool 'long wid 'em","Jane Smith Hill Harmon","GA","Lower Coast","have","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","dhg","have","First - Singular"
"265","He lives up in dat Phillerdelma","Jane Smith Hill Harmon","GA","Lower Coast","live","s","Pronoun","Third","Singular","A","C","V","T","dynamic","non-habitual","rest","live","Third - Singular"
"266","I'se home down here an got all de 'tection I needs","Jane Smith Hill Harmon","GA","Lower Coast","need","s","Pronoun","First","Singular","A","C","P","N","state","non-habitual","rest","need","First - Singular"
"267","I 'members dat","Jane Smith Hill Harmon","GA","Lower Coast","remember","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","remember","First - Singular"
"268","I hate's em, I tells yuh!","Jane Smith Hill Harmon","GA","Lower Coast","tell","s","Pronoun","First","Singular","A","C","V","N","dynamic","discourse","rest","tell","First - Singular"
"269","I believes the Negroes is got as much right to freedom as any other case","Jefferson Franklin Henry","GA","Lower Coast","believe","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","believe","First - Singular"
"270","Cuttin' the buck is what I calls the kind of frolics they had atter they got full of liquor","Jefferson Franklin Henry","GA","Lower Coast","call","s","Pronoun","First","Singular","A","C","C","N","dynamic","habitual","rest","call","First - Singular"
"271","deed I does believe that","Jefferson Franklin Henry","GA","Lower Coast","do","s","Pronoun","First","Singular","A","irregular","C","N","aux","non-habitual","dhg","do","First - Singular"
"272","Us still has two boys and two girls","Jefferson Franklin Henry","GA","Lower Coast","have","s","Pronoun","First","Plural","N","irregular","C","N","state","non-habitual","dhg","have","First - Plural"
"273","I knows I'se give you the best story you has wrote up yit.","Jefferson Franklin Henry","GA","Lower Coast","know","s","Pronoun","First","Singular","A","V","V","N","state","non-habitual","rest","know","First - Singular"
"274","If the Lord lets us both live 'til this comin' December us will selebrate our 53rd weddin' anniversary","Jefferson Franklin Henry","GA","Lower Coast","let","s","NP","Third","Singular","A","C","V","T","dynamic","habitual","rest","let","Third - Singular"
"275","I 'members when all this side of town was in farms and woods with just a few houses scattered about","Jefferson Franklin Henry","GA","Lower Coast","remember","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","remember","First - Singular"
"276","I 'spects thar was 'bout four or five hundred acres in it","Jefferson Franklin Henry","GA","Lower Coast","spect","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","spect","First - Singular"
"277","one of 'em teaches at the Union Baptist school","Jefferson Franklin Henry","GA","Lower Coast","teach","s","NP","Third","Singular","A","S","V","T","dynamic","habitual","rest","infrequent","Third - Singular"
"278","I thinks it was by Gods own plan that Preisdent Abraham Lincoln sot us free","Jefferson Franklin Henry","GA","Lower Coast","think","s","Pronoun","First","Singular","A","C","V","N","state","non-habitual","rest","think","First - Singular"
"279","I thinks all people ought to be 'ligious","Jefferson Franklin Henry","GA","Lower Coast","think","s","Pronoun","First","Singular","A","C","V","N","state","non-habitual","rest","think","First - Singular"
"280","Yes Mam, I sho b'lieves in 'ligion, dat I does.","Rachel Adams","GA","Lower Coast","believe","s","Pronoun","First","Singular","N","C","V","N","state","non-habitual","rest","believe","First - Singular"
"281","Yes Mam, I sho b'lieves in 'ligion, dat I does.","Rachel Adams","GA","Lower Coast","do","s","Pronoun","First","Singular","A","irregular","P","N","aux","non-habitual","dhg","do","First - Singular"
"282","far as I knows, dey was borned and bred in dat same county.","Rachel Adams","GA","Lower Coast","know","s","Pronoun","First","Singular","A","V","C","N","state","non-habitual","rest","know","First - Singular"
"283","Evvy time I moved at night it sounded lak de wind blowin' through dem peach trees and bamboos 'round de front of de house whar I lives now.","Rachel Adams","GA","Lower Coast","live","s","Pronoun","First","Singular","A","C","C","N","dynamic","non-habitual","rest","live","First - Singular"
"284","and if folks lives right dey sho' is gwine to have a good restin' place in de next world.","Rachel Adams","GA","Lower Coast","live","s","NP","Third","Plural","A","C","C","N","dynamic","non-habitual","rest","live","Third - Plural"
"285","I disremembers what color","Will Sheets","GA","Lower Coast","disremember","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","disremember","First - Singular"
"286","I laks to have somebody to talk to 'cause I can't git 'bout no more since I los' both of my footses and I gits powerful lonesome sometimes.","Will Sheets","GA","Lower Coast","get","s","Pronoun","First","Singular","A","C","C","N","dynamic","habitual","rest","get","First - Singular"
"287","I don't mind, its been many a long day since anybody azed me to talk 'bout things dat far back","Will Sheets","GA","Lower Coast","have","s","Pronoun","Third","Singular","A","irregular","C","T","aux","non-habitual","dhg","have","Third - Singular"
"288","As far as I knows, dey was borned and raised on deir Marsters' plantations.","Will Sheets","GA","Lower Coast","know","s","Pronoun","First","Singular","A","V","C","N","state","non-habitual","rest","know","First - Singular"
"289","I jus' knows I had 'em and dat's all","Will Sheets","GA","Lower Coast","know","s","Pronoun","First","Singular","N","V","V","N","state","non-habitual","rest","know","First - Singular"
"290","dat I knows 'bout","Will Sheets","GA","Lower Coast","know","s","Pronoun","First","Singular","A","V","C","N","state","non-habitual","rest","know","First - Singular"
"291","I mos' know dere was plenty trouble twixt de Niggers and de white folkses.","Will Sheets","GA","Lower Coast","know","0","Pronoun","First","Singular","N","V","C","N","state","non-habitual","rest","know","First - Singular"
"292","I laks to have somebody to talk to 'cause I can't git 'bout no more since I los' both of my footses and I gits powerful lonesome sometimes.","Will Sheets","GA","Lower Coast","like","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","like","First - Singular"
"293","I laks to talk 'bout it","Will Sheets","GA","Lower Coast","like","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","like","First - Singular"
"294","I 'members de fus' time I seed anybody die","Will Sheets","GA","Lower Coast","remember","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","remember","First - Singular"
"295","I 'members dem Yankees comin' down de big road a-stealin' as dey went 'long","Will Sheets","GA","Lower Coast","remember","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","remember","First - Singular"
"296","I 'members Marse Jeff put one of his colored mens on his hoss wid a coffeepot full of gold","Will Sheets","GA","Lower Coast","remember","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","remember","First - Singular"
"297","You see Ma was a house gal","Will Sheets","GA","Lower Coast","see","0","Pronoun","Second","","A","V","C","N","dynamic","discourse","rest","see","Second - "
"298","When I thinks back","Will Sheets","GA","Lower Coast","think","s","Pronoun","First","Singular","A","C","C","N","dynamic","habitual","rest","think","First - Singular"
"299","I think Mr. Lincoln was a great man","Will Sheets","GA","Lower Coast","think","0","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","think","First - Singular"
"300","But for me I trys to behave myself","Will Sheets","GA","Lower Coast","try","s","Pronoun","First","Singular","A","V","C","N","dynamic","habitual","rest","try","First - Singular"
"301","I b'lieves dey was stouter den dan dey is now","William McWhorter","GA","Lower Coast","believe","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","believe","First - Singular"
"302","I 'clar to goodness, paterollers was de  devil's own hosses","William McWhorter","GA","Lower Coast","declare","0","Pronoun","First","Singular","A","C","C","N","dynamic","discourse","rest","declare","First - Singular"
"303","Does you know what you'se axin'?","William McWhorter","GA","Lower Coast","do","s","Pronoun","Second","Singular","A","irregular","C","N","aux","non-habitual","dhg","do","Second - Singular"
"304","Does I know anything 'bout ghosties?","William McWhorter","GA","Lower Coast","do","s","Pronoun","First","Singular","A","irregular","V","N","aux","non-habitual","dhg","do","First - Singular"
"305","but I 'spects some of dem Niggers needed evvy lick dey got","William McWhorter","GA","Lower Coast","spect","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","spect","First - Singular"
"306","I feels sho He ain't gwine to let me perish","William McWhorter","GA","Lower Coast","feel","s","Pronoun","First","Singular","A","C","S","N","state","non-habitual","rest","feel","First - Singular"
"307","soon as I finds somebody to take keer of me","William McWhorter","GA","Lower Coast","find","s","Pronoun","First","Singular","A","C","S","N","dynamic","non-habitual","rest","infrequent","First - Singular"
"308","Mistess, you knows white folks had to make slaves what b'longed to 'em mind and be-have deyselfs in dem deys","William McWhorter","GA","Lower Coast","know","s","Pronoun","Second","Singular","A","V","C","N","state","non-habitual","rest","know","Second - Singular"
"309","You knows all Niggers would ruther be free","William McWhorter","GA","Lower Coast","know","s","Pronoun","Second","Singular","A","V","V","N","state","non-habitual","rest","know","Second - Singular"
"310","I 'members dat my pa's ma was a field hand","William McWhorter","GA","Lower Coast","remember","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","remember","First - Singular"
"311","You see, Mistess, it was lak dis","William McWhorter","GA","Lower Coast","see","0","Pronoun","Second","Singular","A","V","C","N","dynamic","discourse","rest","see","Second - Singular"
"312","It seems lak I'se done told you my pa was Marse Joe's carriage driver","William McWhorter","GA","Lower Coast","seem","s","Pronoun","Third","Singular","A","C","C","T","state","non-habitual","rest","seem","Third - Singular"
"313","When you starts 'bout dem victuals","William McWhorter","GA","Lower Coast","start","s","Pronoun","Second","Singular","A","C","C","N","dynamic","habitual","rest","start","Second - Singular"
"314","I b'lieve folkses 'haved better dem days dan dey does now.","Willis Cofer","GA","Lower Coast","believe","0","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","believe","First - Singular"
"315","but I gits awful lone-some sometimes","Willis Cofer","GA","Lower Coast","get","s","Pronoun","First","Singular","A","C","V","N","dynamic","habitual","rest","get","First - Singular"
"316","Its de devil makes folkses do bad","Willis Cofer","GA","Lower Coast","make","s","NP","Third","Singular","A","C","C","T","dynamic","habitual","rest","make","Third - Singular"
"317","I 'members lots of folkses whats buried dar","Willis Cofer","GA","Lower Coast","remember","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","remember","First - Singular"
"318","I b'lieves in de Sperrit","Anna Baker","MS","Gulf","believe","s","Pronoun","First","Singular","A","C","V","N","state","non-habitual","rest","believe","First - Singular"
"319","I b'lieves all o' us when us die is sperrits","Anna Baker","MS","Gulf","believe","s","Pronoun","First","Singular","A","C","V","N","state","non-habitual","rest","believe","First - Singular"
"320","I guess dat is where I gits my brown color","Anna Baker","MS","Gulf","get","s","Pronoun","First","Singular","A","C","C","N","dynamic","non-habitual","rest","get","First - Singular"
"321","I guess dat is where I gits my brown color","Anna Baker","MS","Gulf","guess","0","Pronoun","First","Singular","A","S","C","N","state","non-habitual","rest","guess","First - Singular"
"322","Now I hear tell o' dat barefoot Nigger down at Columbus callin' de president","Anna Baker","MS","Gulf","hear","0","Pronoun","First","Singular","A","C","C","N","state","habitual","rest","hear","First - Singular"
"323","I know I was a right smart size den","Anna Baker","MS","Gulf","know","0","Pronoun","First","Singular","A","V","V","N","state","non-habitual","rest","know","First - Singular"
"324","I had four sisters an' one brother dat I knows of.","Anna Baker","MS","Gulf","know","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","know","First - Singular"
"325","but I know dat her pappy was a full blooded Injun","Anna Baker","MS","Gulf","know","0","Pronoun","First","Singular","A","V","C","N","state","non-habitual","rest","know","First - Singular"
"326","I know 'bout dem Kloo Kluxes","Anna Baker","MS","Gulf","know","0","Pronoun","First","Singular","A","V","C","N","state","non-habitual","rest","know","First - Singular"
"327","I knows ever'thing gwine a-come out all right","Anna Baker","MS","Gulf","know","s","Pronoun","First","Singular","A","V","V","N","state","non-habitual","rest","know","First - Singular"
"328","Twixt de Lawd an' de good white folks I know I's gwine always have somethin' t'eat","Anna Baker","MS","Gulf","know","0","Pronoun","First","Singular","A","V","V","N","state","non-habitual","rest","know","First - Singular"
"329","I reckon I was mos' too little","Anna Baker","MS","Gulf","reckon","0","Pronoun","First","Singular","A","C","V","N","state","non-habitual","rest","reckon","First - Singular"
"330","I reckon dey sees de sperrits","Anna Baker","MS","Gulf","reckon","0","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","reckon","First - Singular"
"331","I recollec' a tale my mammy tol' me 'bout my gran'pa","Anna Baker","MS","Gulf","recollect","0","Pronoun","First","Singular","A","C","V","N","state","non-habitual","rest","recollect","First - Singular"
"332","I 'members a pow'ful lot 'bout slavery times an' 'bout 'fore surrender","Anna Baker","MS","Gulf","remember","s","Pronoun","First","Singular","A","C","V","N","state","non-habitual","rest","remember","First - Singular"
"333","I 'members Marster comin' down de road past de house","Anna Baker","MS","Gulf","remember","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","remember","First - Singular"
"334","after dey lef' I 'member de Blue Coats a-comin'","Anna Baker","MS","Gulf","remember","0","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","remember","First - Singular"
"335","I tells you jus' lak I tol' dat Home Loan man what was here las' week.","Anna Baker","MS","Gulf","tell","s","Pronoun","First","Singular","A","C","C","N","dynamic","discourse","rest","tell","First - Singular"
"336","I think it was 'cause de marster laked me","Anna Baker","MS","Gulf","think","0","Pronoun","First","Singular","A","C","V","N","state","non-habitual","rest","think","First - Singular"
"337","You uses it in churnint","Anna Baker","MS","Gulf","use","s","Pronoun","Second","","A","S","V","N","dynamic","habitual","rest","use","Second - "
"338","I prays de Lawd to see 'em all when I die","Charlie Davenport","MS","Gulf","die","0","Pronoun","First","Singular","A","V","P","N","dynamic","non-habitual","rest","die","First - Singular"
"339","Encordin' to de way I figures I ought to be nearly a hund'ed years old.","Charlie Davenport","MS","Gulf","figure","s","Pronoun","First","Singular","A","C","V","N","state","non-habitual","rest","figure","First - Singular"
"340","My hair is so long I has to keep it wropped","Charlie Davenport","MS","Gulf","have","s","Pronoun","First","Singular","A","irregular","C","N","state","non-habitual","dhg","have","First - Singular"
"341","Nobody knows my birthday","Charlie Davenport","MS","Gulf","know","s","NP","Third","Singular","A","V","C","T","state","non-habitual","rest","know","Third - Singular"
"342","I knows 'bout de Kloo Kluxes","Charlie Davenport","MS","Gulf","know","s","Pronoun","First","Singular","A","V","C","N","state","non-habitual","rest","know","First - Singular"
"343","I knows a-plenty","Charlie Davenport","MS","Gulf","know","s","Pronoun","First","Singular","A","V","V","N","state","non-habitual","rest","know","First - Singular"
"344","I wish I could git word to 'im, 'cause I know he'd look after me if he knowed I was on charity","Charlie Davenport","MS","Gulf","know","0","Pronoun","First","Singular","A","C","V","N","state","non-habitual","rest","know","First - Singular"
"345","I prays de Lawd to see 'em all when I die","Charlie Davenport","MS","Gulf","pray","s","Pronoun","First","Singular","A","V","C","N","dynamic","habitual","rest","infrequent","First - Singular"
"346","I reckon I was 'bout fifteen","Charlie Davenport","MS","Gulf","reckon","0","Pronoun","First","Singular","A","C","V","N","state","non-habitual","rest","reckon","First - Singular"
"347","I 'members dat well. ","Charlie Davenport","MS","Gulf","remember","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","remember","First - Singular"
"348","I wish I could git word to 'im, 'cause I know he'd look after me if he knowed I was on charity","Charlie Davenport","MS","Gulf","wish","s","Pronoun","First","Singular","A","S","V","N","state","non-habitual","rest","wish","First - Singular"
"349","I 'clare 'fore goodness, I can't even 'member de firs' line o'dat song","Dora Franks","MS","Gulf","declare","0","Pronoun","First","Singular","A","C","C","N","dynamic","discourse","rest","declare","First - Singular"
"350","I do 'member a few lak 'Shoo Fly'","Dora Franks","MS","Gulf","do","0","Pronoun","First","Singular","A","irregular","C","N","aux","non-habitual","dhg","do","First - Singular"
"351","I does 'member a little o 'Old Dan Tucker""","Dora Franks","MS","Gulf","do","s","Pronoun","First","Singular","A","irregular","C","N","aux","non-habitual","dhg","do","First - Singular"
"352","He lives out at Acker's Fishing Lodge now an' does de cookin' for 'em.","Dora Franks","MS","Gulf","do","s","Pronoun","Third","Singular","N","irregular","C","T","dynamic","habitual","dhg","do","Third - Singular"
"353","I gits sort-a res'less mos' o' de time an' has to keep busy to keep from thinkin' too much.","Dora Franks","MS","Gulf","get","s","Pronoun","First","Singular","A","C","C","N","dynamic","habitual","rest","get","First - Singular"
"354","I gits sort-a res'less mos' o' de time an' has to keep busy to keep from thinkin' too much.","Dora Franks","MS","Gulf","have","s","Pronoun","First","Singular","N","irregular","C","N","state","non-habitual","dhg","have","First - Singular"
"355","You know what kinda folks dey is","Dora Franks","MS","Gulf","know","0","Pronoun","Second","","A","V","C","N","state","non-habitual","rest","know","Second - "
"356","You knows Niggers aint s'posed to always know de right from de wrong","Dora Franks","MS","Gulf","know","s","Pronoun","Second","","A","V","C","N","state","non-habitual","rest","know","Second - "
"357","I know ever'thing ggwine come out all right","Dora Franks","MS","Gulf","know","0","Pronoun","First","Singular","A","V","V","N","state","non-habitual","rest","know","First - Singular"
"358","cause her mammy let her do jus' lak she please anyhow","Dora Franks","MS","Gulf","let","0","NP","Third","Singular","A","C","C","T","dynamic","habitual","rest","let","Third - Singular"
"359","He lives out at Acker's Fishing Lodge now an' does de cookin' for 'em.","Dora Franks","MS","Gulf","live","s","Pronoun","Third","Singular","A","C","V","T","dynamic","non-habitual","rest","live","Third - Singular"
"360","I puts my faith in the Laws","Dora Franks","MS","Gulf","put","s","Pronoun","First","Singular","A","C","C","N","dynamic","habitual","rest","put","First - Singular"
"361","I reckon I be's 'bout a hund'ed","Dora Franks","MS","Gulf","reckon","0","Pronoun","First","Singular","A","C","V","N","state","non-habitual","rest","reckon","First - Singular"
"362","I 'members one time when dey all went off an' lef' me wid a old black woman call Aunt Ca'line","Dora Franks","MS","Gulf","remember","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","remember","First - Singular"
"363","De firs' thing dat I 'member hearin' 'bout de war was one day when Marse George com in dae house","Dora Franks","MS","Gulf","remember","0","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","remember","First - Singular"
"364","Marse Lincoln an' marse Jeff Davis is two I 'members 'bout","Dora Franks","MS","Gulf","remember","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","remember","First - Singular"
"365","Den I tells you de one thing I worries 'bout mos'","Dora Franks","MS","Gulf","tell","s","Pronoun","First","Singular","A","C","C","N","dynamic","habitual","rest","tell","First - Singular"
"366","I tells you, it aint right.","Dora Franks","MS","Gulf","tell","s","Pronoun","First","Singular","A","C","C","N","dynamic","discourse","rest","tell","First - Singular"
"367","I worries a right smart 'bout her, but it don't do no good","Dora Franks","MS","Gulf","worry","s","Pronoun","First","Singular","A","V","V","N","dynamic","habitual","rest","worry","First - Singular"
"368","Den I tells you de one thing I worries 'bout mos'","Dora Franks","MS","Gulf","worry","s","Pronoun","First","Singular","A","V","C","N","dynamic","habitual","rest","worry","First - Singular"
"369","I might have some grandchulluns but If I do, dey live up North","Fannie Hodges","MS","Gulf","do","0","Pronoun","First","Singular","A","irregular","C","N","aux","non-habitual","dhg","do","First - Singular"
"370","How do I live?","Fannie Hodges","MS","Gulf","do","0","Pronoun","First","Singular","A","irregular","P","N","aux","non-habitual","dhg","do","First - Singular"
"371","well I gits a pension of fo' dollars a month","Fannie Hodges","MS","Gulf","get","s","Pronoun","First","Singular","A","C","V","N","dynamic","habitual","rest","get","First - Singular"
"372","Dat hurts me sometimes yit","Fannie Hodges","MS","Gulf","hurt","s","NP","Third","Singular","A","C","C","T","dynamic","habitual","rest","hurt","Third - Singular"
"373","I had fo' chullun, none of dem livin' dat I know of","Fannie Hodges","MS","Gulf","know","0","Pronoun","First","Singular","A","V","V","N","state","non-habitual","rest","know","First - Singular"
"374","I try to wash a leetle for de colored folks an' den I big","Fannie Hodges","MS","Gulf","try","0","Pronoun","First","Singular","A","V","C","N","dynamic","habitual","rest","try","First - Singular"
"375","When de time comes to go I hopes to be ready","Gabe Emanuel","MS","Gulf","come","s","NP","Third","Singular","A","C","C","T","dynamic","habitual","rest","come","Third - Singular"
"376","I 'clare, dey sho' did","Gabe Emanuel","MS","Gulf","declare","0","Pronoun","First","Singular","A","C","C","N","dynamic","discourse","rest","declare","First - Singular"
"377","I lives here in Port Gibson an' does mos' ever' kin' o' work.","Gabe Emanuel","MS","Gulf","do","s","Pronoun","First","Singular","N","irregular","C","N","dynamic","habitual","dhg","do","First - Singular"
"378","When de time comes to go I hopes to be ready","Gabe Emanuel","MS","Gulf","hope","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","hope","First - Singular"
"379","I lives here in Port Gibson an' does mos' ever' kin' o' work.","Gabe Emanuel","MS","Gulf","live","s","Pronoun","First","Singular","A","C","C","N","dynamic","non-habitual","rest","live","First - Singular"
"380","I mean to tell you dem was de good days","Gabe Emanuel","MS","Gulf","mean","0","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","mean","First - Singular"
"381","dat what I recollec'","Gabe Emanuel","MS","Gulf","recollect","0","Pronoun","First","Singular","A","C","P","N","state","non-habitual","rest","recollect","First - Singular"
"382","I jus' member a few things dat happen den.","Gabe Emanuel","MS","Gulf","remember","0","Pronoun","First","Singular","N","C","V","N","state","non-habitual","rest","remember","First - Singular"
"383","I 'member how 'cited I'd git when one o' dem shindigs 'ud come off","Gabe Emanuel","MS","Gulf","remember","0","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","remember","First - Singular"
"384","I 'member I used to hate ever' Wednesday","Gabe Emanuel","MS","Gulf","remember","0","Pronoun","First","Singular","A","C","V","N","state","non-habitual","rest","remember","First - Singular"
"385","I 'member one time de Yankees camped right in de front yard.","Gabe Emanuel","MS","Gulf","remember","0","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","remember","First - Singular"
"386","but I 'spect I won't be here much longer","Gabe Emanuel","MS","Gulf","spect","0","Pronoun","First","Singular","A","C","V","N","state","non-habitual","rest","spect","First - Singular"
"387","De Lawd God Almighty takes good care o' his chillun if dey be's good an' holy.","Gabe Emanuel","MS","Gulf","take","s","NP","Third","Singular","A","C","C","N","dynamic","habitual","rest","take","Third - Singular"
"388","I tries to live right by ever'body","Gabe Emanuel","MS","Gulf","try","s","Pronoun","First","Singular","A","V","C","N","dynamic","habitual","rest","try","First - Singular"
"389","Walkin Egypt, de calls hit","Hamp Kennedy","MS","Gulf","call","s","Pronoun","Third","Plural","A","C","C","N","dynamic","habitual","rest","call","Third - Plural"
"390","One time I 'member when Aunt Charity an' Winnie McInnis_tried to seim some of our hosses cross de riber","Hamp Kennedy","MS","Gulf","remember","0","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","remember","First - Singular"
"391","Folk's wouldn't b'lieve de truf if I was to tell all I knows 'bout dem angodly times.","Isaac Stier","MS","Gulf","believe","0","Pronoun","First","Singular","A","C","V","N","state","non-habitual","rest","believe","First - Singular"
"392","I gits kinda windless when I thinks 'bout all I been through.","Isaac Stier","MS","Gulf","get","s","Pronoun","First","Singular","A","C","C","N","dynamic","habitual","rest","get","First - Singular"
"393","Dat's how I knows I'll be one hund'ed years old if I lives 'til de turn o' de year","Isaac Stier","MS","Gulf","know","s","Pronoun","First","Singular","A","V","V","N","state","non-habitual","rest","know","First - Singular"
"394","Dat's how I knows I'll be one hund'ed years old if I lives 'til de turn o' de year","Isaac Stier","MS","Gulf","live","s","Pronoun","First","Singular","A","C","C","N","dynamic","non-habitual","rest","live","First - Singular"
"395","Right now, I loves my marster an his wife in de grave.","Isaac Stier","MS","Gulf","love","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","love","First - Singular"
"396","Nobody needs more dan dey can use, no how.","Isaac Stier","MS","Gulf","need","s","NP","Third","Singular","A","C","C","T","state","non-habitual","rest","need","Third - Singular"
"397","I reckon ever'body has heard 'bout him.","Isaac Stier","MS","Gulf","reckon","0","Pronoun","First","Singular","A","C","V","N","state","non-habitual","rest","reckon","First - Singular"
"398","I reckon I don't need nothin else","Isaac Stier","MS","Gulf","reckon","0","Pronoun","First","Singular","A","C","V","N","state","non-habitual","rest","reckon","First - Singular"
"399","But I 'member one song 'bout a frong pond an' one 'bout 'Jump, Mr. Toad.'","Isaac Stier","MS","Gulf","remember","0","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","remember","First - Singular"
"400","I rents a place on Providence Plantation 'bout three miles south o' Natchez.","Isaac Stier","MS","Gulf","rent","s","Pronoun","First","Singular","A","C","V","N","dynamic","non-habitual","rest","infrequent","First - Singular"
"401","De doctor say I got a bad heart.","Isaac Stier","MS","Gulf","say","0","NP","Third","Singular","A","irregular","V","N","dynamic","habitual","rest","say","Third - Singular"
"402","De folks I stays wid is powerful good to me an' sees after me same as dey was my own.","Isaac Stier","MS","Gulf","see","s","NP","Third","Plural","N","V","V","N","dynamic","habitual","rest","see","Third - Plural"
"403","De folks I stays wid is powerful good to me an' sees after me same as dey was my own.","Isaac Stier","MS","Gulf","stay","s","Pronoun","First","Singular","A","V","C","N","dynamic","non-habitual","rest","stay","First - Singular"
"404","It takes de quality to un'erstan' such things.","Isaac Stier","MS","Gulf","take","s","Pronoun","Third","Singular","A","C","C","T","dynamic","habitual","rest","take","Third - Singular"
"405","I tell you, dem Yankees took us by starvation.","Isaac Stier","MS","Gulf","tell","0","Pronoun","First","Singular","A","C","C","N","dynamic","discourse","rest","tell","First - Singular"
"406","But dey tells me he was poor an' never cut much figger in his clothes","Isaac Stier","MS","Gulf","tell","s","Pronoun","Third","Plural","A","C","C","N","dynamic","habitual","rest","tell","Third - Plural"
"407","I gits kinda windless when I thinks 'bout all I been through.","Isaac Stier","MS","Gulf","think","s","Pronoun","First","Singular","A","C","C","N","dynamic","habitual","rest","think","First - Singular"
"408","I trusts him an' he is sho' good to me.","Isaac Stier","MS","Gulf","trust","s","Pronoun","First","Singular","A","C","C","N","state","habitual","rest","infrequent","First - Singular"
"409","Dey wants too much.","Isaac Stier","MS","Gulf","want","s","Pronoun","Third","Plural","A","C","C","N","state","non-habitual","rest","want","Third - Plural"
"410","I b'lieves a bank sol' us nex' to Marse L. Q. Chambers","James Lucas","MS","Gulf","believe","s","Pronoun","First","Singular","A","C","V","N","state","non-habitual","rest","believe","First - Singular"
